"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.495748551E0,-2.729999924E1,2.279999924E1,-6.005999756E1,6.980210047E1
1.505748517E0,-2.634000015E1,2.327999878E1,-6.059999847E1,7.005793150E1
1.515748517E0,-2.621999931E1,2.345999908E1,-6.131999969E1,7.069655072E1
1.525748517E0,-2.693999863E1,2.315999985E1,-6.059999847E1,7.024605992E1
1.535748517E0,-2.669999886E1,2.321999931E1,-6.071999741E1,7.027785136E1
1.545748550E0,-2.711999893E1,2.292000008E1,-6.077999878E1,7.039196685E1
1.555748550E0,-2.718000031E1,2.327999878E1,-6.119999695E1,7.089534813E1
1.565748550E0,-2.711999893E1,2.297999954E1,-6.137999725E1,7.093009787E1
1.575748550E0,-2.669999886E1,2.387999916E1,-6.077999878E1,7.055035472E1
1.585749383E0,-2.609999847E1,2.435999870E1,-5.909999847E1,6.904657324E1
1.595749349E0,-2.592000008E1,2.369999886E1,-5.861999893E1,6.833623215E1
1.605749349E0,-2.592000008E1,2.351999855E1,-5.855999756E1,6.822250398E1
1.615749349E0,-2.711999893E1,2.237999916E1,-5.861999893E1,6.835687953E1
1.625749349E0,-2.735999870E1,2.250000000E1,-5.993999863E1,6.962487317E1
1.635749749E0,-2.753999901E1,2.285999870E1,-6.041999817E1,7.022540327E1
1.645749749E0,-2.735999870E1,2.315999985E1,-6.084000015E1,7.061487620E1
1.655749749E0,-2.771999931E1,2.297999954E1,-6.119999695E1,7.100646708E1
1.668388614E0,-2.784000015E1,2.261999893E1,-6.119999695E1,7.093778673E1
1.678388614E0,-2.777999878E1,2.285999870E1,-6.089999771E1,7.073271940E1
1.688387747E0,-2.765999985E1,2.321999931E1,-6.095999908E1,7.085453724E1
1.698387747E0,-2.676000023E1,2.351999855E1,-6.035999680E1,7.009006461E1
1.708387713E0,-2.634000015E1,2.405999947E1,-5.903999710E1,6.898116004E1
1.718387713E0,-2.627999878E1,2.363999939E1,-5.729999924E1,6.732590749E1
1.728387713E0,-2.645999908E1,2.387999916E1,-5.789999771E1,6.799114388E1
1.738387713E0,-2.657999992E1,2.393999863E1,-5.795999908E1,6.811006845E1
1.748387713E0,-2.705999947E1,2.321999931E1,-5.753999710E1,6.769241616E1
1.758387713E0,-2.687999916E1,2.339999962E1,-5.784000015E1,6.793791250E1
1.768387713E0,-2.718000031E1,2.273999977E1,-5.753999710E1,6.757744648E1
1.778387713E0,-2.718000031E1,2.321999931E1,-5.795999908E1,6.809759378E1
1.788388579E0,-2.676000023E1,2.351999855E1,-5.879999924E1,6.875120257E1
1.798388579E0,-2.705999947E1,2.327999878E1,-5.903999710E1,6.899219646E1
1.808388579E0,-2.651999855E1,2.369999886E1,-5.868000031E1,6.861736445E1
1.818388579E0,-2.669999886E1,2.357999992E1,-5.873999786E1,6.869711555E1
1.828388579E0,-2.663999939E1,2.381999969E1,-5.807999802E1,6.819360764E1
1.838388579E0,-2.621999931E1,2.423999977E1,-5.784000015E1,6.797449206E1
1.848388545E0,-2.627999878E1,2.400000000E1,-5.813999939E1,6.816815873E1
1.858388545E0,-2.663999939E1,2.310000038E1,-5.765999985E1,6.758679729E1
1.868388545E0,-2.711999893E1,2.285999870E1,-5.909999847E1,6.892665451E1
1.878388545E0,-2.747999954E1,2.255999947E1,-6.053999710E1,7.020822744E1
1.888387645E0,-2.723999977E1,2.285999870E1,-6.023999786E1,6.995323060E1
1.898387645E0,-2.729999924E1,2.310000038E1,-5.981999969E1,6.969456463E1
1.908387645E0,-2.807999992E1,2.213999939E1,-5.934000015E1,6.928132206E1
1.918387645E0,-2.801999855E1,2.202000046E1,-5.957999802E1,6.942461309E1
1.928387645E0,-2.771999931E1,2.207999992E1,-5.981999969E1,6.952954136E1
1.938387645E0,-2.711999893E1,2.243999863E1,-6.035999680E1,6.987400871E1
1.948387645E0,-2.735999870E1,2.213999939E1,-5.981999969E1,6.940591809E1
1.958387645E0,-2.742000008E1,2.231999969E1,-5.952000046E1,6.922910692E1
1.968387645E0,-2.807999992E1,2.195999908E1,-6.000000000E1,6.979060077E1
1.978387645E0,-2.789999962E1,2.237999916E1,-6.041999817E1,7.021289426E1
1.988388511E0,-2.693999863E1,2.297999954E1,-6.102000046E1,7.054987144E1
1.998388511E0,-2.693999863E1,2.297999954E1,-6.137999725E1,7.086147026E1
2.008388544E0,-2.729999924E1,2.303999901E1,-6.107999802E1,7.075943520E1
2.018388544E0,-2.789999962E1,2.255999947E1,-6.071999741E1,7.052858739E1
2.028388544E0,-2.789999962E1,2.285999870E1,-6.047999954E1,7.041888855E1
2.038388544E0,-2.801999855E1,2.285999870E1,-6.005999756E1,7.010637037E1
2.048388577E0,-2.771999931E1,2.292000008E1,-5.987999725E1,6.985226436E1
2.058388577E0,-2.759999847E1,2.315999985E1,-5.975999832E1,6.978110710E1
2.068388577E0,-2.742000008E1,2.345999908E1,-5.939999771E1,6.950242938E1
2.078388577E0,-2.729999924E1,2.351999855E1,-5.981999969E1,6.983489567E1
2.088387710E0,-2.705999947E1,2.334000015E1,-6.029999924E1,7.009343112E1
2.098387710E0,-2.639999962E1,2.357999992E1,-6.143999863E1,7.090733254E1
2.108387710E0,-2.693999863E1,2.310000038E1,-6.245999908E1,7.183749042E1
2.118387710E0,-2.753999901E1,2.268000031E1,-6.191999817E1,7.146271848E1
2.128387710E0,-2.771999931E1,2.273999977E1,-6.102000046E1,7.077391050E1
2.138387710E0,-2.813999939E1,2.273999977E1,-6.018000031E1,7.021822835E1
2.148387710E0,-2.813999939E1,2.243999863E1,-5.939999771E1,6.945338604E1
2.158387710E0,-2.789999962E1,2.243999863E1,-5.957999802E1,6.951071630E1
2.168387710E0,-2.771999931E1,2.303999901E1,-6.053999710E1,7.045800994E1
2.178387710E0,-2.759999847E1,2.303999901E1,-6.125999832E1,7.103090077E1
2.188388610E0,-2.771999931E1,2.279999924E1,-6.137999725E1,7.110374385E1
2.198388610E0,-2.747999954E1,2.310000038E1,-6.113999939E1,7.090035203E1
2.208388643E0,-2.729999924E1,2.279999924E1,-6.084000015E1,7.047436088E1
2.218388643E0,-2.759999847E1,2.268000031E1,-6.023999786E1,7.003570284E1
2.228388643E0,-2.693999863E1,2.363999939E1,-6.053999710E1,7.035413525E1
2.238388643E0,-2.676000023E1,2.345999908E1,-6.011999893E1,6.986331971E1
2.248388643E0,-2.657999992E1,2.363999939E1,-6.023999786E1,6.995858282E1
2.258388643E0,-2.615999985E1,2.363999939E1,-6.000000000E1,6.959306836E1
2.268388643E0,-2.639999962E1,2.334000015E1,-5.981999969E1,6.942728535E1
2.278388643E0,-2.627999878E1,2.387999916E1,-6.018000031E1,6.987506803E1
2.288387809E0,-2.663999939E1,2.345999908E1,-5.981999969E1,6.955928039E1
2.298387842E0,-2.753999901E1,2.321999931E1,-5.975999832E1,6.977734097E1
2.308387808E0,-2.742000008E1,2.339999962E1,-6.041999817E1,7.035618356E1
2.318387808E0,-2.777999878E1,2.339999962E1,-6.047999954E1,7.054869707E1
2.328387808E0,-2.747999954E1,2.387999916E1,-6.131999969E1,7.131302193E1
2.338387808E0,-2.651999855E1,2.423999977E1,-6.179999924E1,7.148515802E1
2.348387774E0,-2.645999908E1,2.381999969E1,-6.095999908E1,7.059493909E1
2.358387774E0,-2.693999863E1,2.363999939E1,-6.047999954E1,7.030251377E1
2.368387774E0,-2.711999893E1,2.310000038E1,-5.915999985E1,6.905801866E1
2.378387774E0,-2.759999847E1,2.285999870E1,-5.873999786E1,6.880935115E1
2.388388640E0,-2.742000008E1,2.292000008E1,-5.909999847E1,6.906513322E1
2.398388640E0,-2.759999847E1,2.231999969E1,-5.861999893E1,6.852916589E1
2.408388673E0,-2.742000008E1,2.273999977E1,-5.909999847E1,6.900560712E1
2.418388673E0,-2.705999947E1,2.261999893E1,-5.957999802E1,6.923643612E1
2.428388673E0,-2.747999954E1,2.292000008E1,-6.000000000E1,6.986040923E1
2.438388673E0,-2.663999939E1,2.303999901E1,-6.047999954E1,6.998829521E1
2.448388673E0,-2.759999847E1,2.184000015E1,-5.975999832E1,6.935418460E1
2.458388673E0,-2.771999931E1,2.237999916E1,-5.957999802E1,6.941929766E1
2.468388673E0,-2.735999870E1,2.255999947E1,-5.934000015E1,6.912856662E1
2.478388673E0,-2.718000031E1,2.321999931E1,-6.029999924E1,7.010000494E1
2.488387806E0,-2.609999847E1,2.477999878E1,-6.173999786E1,7.146387616E1
2.498387806E0,-2.609999847E1,2.435999870E1,-6.161999893E1,7.121547392E1
2.508387772E0,-2.634000015E1,2.453999901E1,-6.041999817E1,7.033195105E1
2.518387772E0,-2.687999916E1,2.423999977E1,-5.807999802E1,6.843535719E1
2.528387772E0,-2.735999870E1,2.363999939E1,-5.807999802E1,6.841568000E1
2.538387772E0,-2.718000031E1,2.381999969E1,-5.819999695E1,6.850828013E1
2.548387805E0,-2.742000008E1,2.321999931E1,-5.909999847E1,6.916527013E1
2.558387805E0,-2.753999901E1,2.303999901E1,-6.084000015E1,7.064558527E1
2.568387805E0,-2.705999947E1,2.321999931E1,-6.023999786E1,7.000192342E1
2.578387805E0,-2.729999924E1,2.303999901E1,-6.018000031E1,6.998402639E1
2.588388638E0,-2.718000031E1,2.321999931E1,-6.041999817E1,7.020325465E1
2.598388604E0,-2.784000015E1,2.237999916E1,-6.018000031E1,6.998258646E1
2.608388604E0,-2.784000015E1,2.279999924E1,-6.047999954E1,7.037567704E1
2.618388604E0,-2.742000008E1,2.327999878E1,-6.077999878E1,7.062593715E1
2.628388604E0,-2.759999847E1,2.327999878E1,-6.035999680E1,7.033525057E1
2.638388604E0,-2.676000023E1,2.405999947E1,-6.041999817E1,7.032465688E1
2.648388604E0,-2.723999977E1,2.315999985E1,-5.952000046E1,6.943366356E1
2.658388604E0,-2.723999977E1,2.285999870E1,-5.945999908E1,6.928267185E1
2.668388604E0,-2.669999886E1,2.327999878E1,-6.005999756E1,6.972841307E1
2.678388604E0,-2.645999908E1,2.339999962E1,-5.993999863E1,6.957366577E1
2.688387704E0,-2.669999886E1,2.285999870E1,-6.023999786E1,6.974472612E1
2.698387704E0,-2.693999863E1,2.285999870E1,-6.029999924E1,6.988871851E1
2.708387670E0,-2.700000000E1,2.292000008E1,-6.023999786E1,6.987978067E1
2.718387670E0,-2.711999893E1,2.303999901E1,-6.035999680E1,7.006900249E1
2.728387670E0,-2.676000023E1,2.339999962E1,-5.969999695E1,6.948199213E1
2.738387670E0,-2.705999947E1,2.273999977E1,-5.897999954E1,6.876039199E1
2.748387670E0,-2.723999977E1,2.213999939E1,-5.861999893E1,6.832643292E1
2.758387670E0,-2.676000023E1,2.255999947E1,-5.885999680E1,6.848029214E1
2.768387670E0,-2.705999947E1,2.303999901E1,-5.987999725E1,6.963260153E1
2.778387670E0,-2.663999939E1,2.400000000E1,-6.041999817E1,7.025856351E1
2.788388536E0,-2.657999992E1,2.429999924E1,-6.119999695E1,7.101004144E1
2.798388569E0,-2.718000031E1,2.345999908E1,-6.179999924E1,7.147281916E1
2.808388602E0,-2.681999969E1,2.339999962E1,-6.089999771E1,7.053851492E1
2.818388602E0,-2.687999916E1,2.273999977E1,-6.065999985E1,7.013756145E1
2.828388602E0,-2.681999969E1,2.268000031E1,-6.053999710E1,6.999132837E1
2.838388602E0,-2.609999847E1,2.339999962E1,-6.011999893E1,6.959298940E1
2.848388568E0,-2.651999855E1,2.345999908E1,-6.018000031E1,6.982345105E1
2.858388568E0,-2.663999939E1,2.400000000E1,-6.029999924E1,7.015539520E1
2.868388568E0,-2.663999939E1,2.376000023E1,-6.041999817E1,7.017694320E1
2.878388568E0,-2.700000000E1,2.357999992E1,-6.065999985E1,7.046028653E1
2.888387701E0,-2.669999886E1,2.351999855E1,-6.095999908E1,7.058471335E1
2.898387701E0,-2.663999939E1,2.321999931E1,-6.102000046E1,7.051452610E1
2.908387701E0,-2.718000031E1,2.334000015E1,-6.102000046E1,7.075979423E1
2.918387701E0,-2.700000000E1,2.339999962E1,-6.102000046E1,7.071068122E1
2.928387701E0,-2.687999916E1,2.303999901E1,-6.084000015E1,7.039091936E1
2.938387701E0,-2.718000031E1,2.243999863E1,-6.005999756E1,6.963841800E1
2.948387701E0,-2.718000031E1,2.219999886E1,-5.885999680E1,6.852803506E1
2.958387701E0,-2.729999924E1,2.219999886E1,-5.879999924E1,6.852422796E1
2.968387701E0,-2.669999886E1,2.315999985E1,-5.891999817E1,6.870838170E1
2.978387701E0,-2.651999855E1,2.315999985E1,-5.909999847E1,6.879320995E1
2.988388601E0,-2.651999855E1,2.339999962E1,-5.993999863E1,6.959650667E1
2.998388601E0,-2.663999939E1,2.351999855E1,-5.993999863E1,6.968273340E1
