"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.170314244E1,6.924709082E-1,-1.810992479E0,2.283064842E0
1.180314244E1,-1.830233783E-1,-8.374713063E-1,-2.041050911E0
1.190314251E1,-2.758929729E-1,5.515366197E-1,-2.578302860E0
1.200314251E1,2.151422203E-1,1.361413002E-1,-1.514253616E-1
1.210314251E1,5.526173115E-1,-2.501462698E-1,3.505042076E0
1.220310917E1,-4.004913270E-1,-2.958932877E0,1.698695183E0
1.230307584E1,-1.736259609E-1,-1.386096954E0,-1.620985985E0
1.240304251E1,-3.497272730E-3,1.654996872E-1,-2.222451210E0
1.250300924E1,-2.161757648E-2,3.150700331E-1,-7.014818192E-1
1.260297594E1,-4.874452055E-1,-9.640864730E-1,3.622810364E0
1.270294260E1,-1.516226381E-1,-2.160531521E0,2.627890587E0
1.280290927E1,-2.345763743E-1,-1.752942562E0,-5.828456879E-1
1.290287600E1,2.116286457E-1,-1.181661487E-1,-2.458695412E0
1.300284267E1,3.298966289E-1,1.836091876E-1,2.323303223E-1
1.310280934E1,1.668406725E-1,-1.339691639E0,3.661539078E0
1.320277600E1,7.416868806E-1,-2.108920574E0,2.359668732E0
1.330274280E1,8.554615974E-1,-1.819334865E0,-1.037683487E-1
1.340270947E1,-2.209775448E-1,2.048265934E-2,-2.622481823E0
1.350267613E1,1.404245496E-1,-5.046496987E-1,-9.766025543E-1
1.360264280E1,-2.191101462E-1,-7.667140961E-1,3.830289841E0
1.370200210E1,-2.256503403E-1,-3.331020355E0,3.942607880E0
1.380196877E1,6.944577694E-1,-7.540057898E-1,-1.065964699E0
1.390193534E1,-4.507876039E-1,3.949952126E-2,-2.587759018E0
1.400190200E1,1.945481747E-1,-1.383378506E-1,-9.112110138E-1
1.410186867E1,5.559140444E-1,-1.643173337E0,2.843249321E0
1.420183534E1,-8.955507278E-1,-2.144551039E0,3.073273659E0
1.430180117E1,2.137076259E-1,-7.434403896E-1,-3.777809143E-1
1.440176783E1,-7.658864260E-1,-3.940972090E-1,-2.967102051E0
1.450170123E1,-3.342456222E-1,-1.613981724E-1,-1.130146980E0
1.460163457E1,-5.457468629E-1,-1.677747011E0,3.673481941E0
1.470156790E1,3.573164046E-1,-2.405303717E0,3.681808472E0
1.480150123E1,1.506234407E-1,-1.374913931E0,-1.103108406E0
1.490143450E1,5.151583254E-2,-1.059246063E-2,-3.306750298E0
1.500136783E1,-2.467242777E-1,-3.136227727E-1,-6.537218094E-1
1.510130116E1,8.909084797E-1,-3.894251585E-1,2.096730232E0
1.520126783E1,3.455779850E-1,-1.951765537E0,2.423402786E0
1.530123453E1,7.707179785E-1,-1.614099264E0,-1.060880661E0
1.540120120E1,-2.068558037E-1,-2.516641021E-1,-2.866110802E0
1.550116790E1,-1.907543391E-1,-4.426960349E-1,-1.313261032E0
1.560113456E1,1.219512224E-1,-1.199751973E0,2.213342667E0
1.570110123E1,5.161791444E-1,-2.460217476E0,2.561330795E0
1.580106790E1,7.774456739E-1,-2.360939503E0,-1.055364609E-1
1.590103446E1,-1.556830406E-1,-2.065128088E-2,-1.290826797E-1
1.600100113E1,2.263474464E-1,6.991350651E-1,-1.791295052E0
1.610096779E1,7.918988466E-1,2.799293995E-1,1.412336349E0
1.620093446E1,4.028207362E-1,-5.835076571E-1,2.874650002E0
1.630090099E1,1.436398625E-1,-2.395958662E0,6.342220306E-1
1.640086769E1,-7.182439566E-1,2.030132413E-1,-3.136458397E0
1.650083436E1,-8.884949684E-1,-8.562064171E-2,-2.007037163E0
1.660080106E1,-2.446144521E-1,-1.269476414E0,2.402829170E0
1.670076772E1,1.914568901E0,-2.450632811E0,3.655570984E0
1.680073439E1,7.341449857E-1,-1.218868136E0,-2.020273209E-1
1.690070102E1,-1.262329370E-1,-3.739855587E-1,-2.036551952E0
1.700066769E1,3.316622674E-1,6.541161537E-1,-1.342321396E0
1.710063436E1,5.441995263E-1,-9.594898224E-1,2.746934891E0
1.720060099E1,5.364172459E-1,-2.246471643E0,5.200789452E0
