"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.369379548E1,5.934675690E1,1.805972928E1,4.016011652E0,1.592371702E0,1.576108704E2,6.000000000E0,3.000000000E0
8.467720990E1,5.934674454E1,1.805973691E1,3.978396247E0,1.576191545E0,1.554718170E2,6.000000000E0,3.000000000E0
8.568337125E1,5.934673048E1,1.805974844E1,3.838617931E0,1.578861952E0,1.538676910E2,6.000000000E0,3.000000000E0
8.668616978E1,5.934671487E1,1.805976053E1,4.110895708E0,1.598452210E0,1.628468170E2,6.000000000E0,3.000000000E0
8.767664144E1,5.934669807E1,1.805977108E1,4.092149894E0,1.623188019E0,1.624594421E2,6.000000000E0,3.000000000E0
8.867885974E1,5.934668623E1,1.805978291E1,4.051556174E0,1.609870195E0,1.470790100E2,8.000000000E0,3.000000000E0
8.968001982E1,5.934667276E1,1.805979911E1,3.881997963E0,1.618069887E0,1.479387207E2,8.000000000E0,3.000000000E0
9.068212328E1,5.934665915E1,1.805981378E1,3.655697959E0,1.625256538E0,1.501524200E2,8.000000000E0,3.000000000E0
9.167539690E1,5.934664614E1,1.805982909E1,3.636370768E0,1.632998347E0,1.522498474E2,8.000000000E0,3.000000000E0
9.268641828E1,5.934663238E1,1.805984663E1,3.636730722E0,1.645730734E0,1.480451050E2,8.000000000E0,3.000000000E0
9.367433424E1,5.934662317E1,1.805986158E1,3.608312176E0,1.615943313E0,1.441692505E2,8.000000000E0,3.000000000E0
9.467626401E1,5.934661318E1,1.805987322E1,3.559960007E0,1.585909367E0,1.530771027E2,8.000000000E0,3.000000000E0
9.568575462E1,5.934660454E1,1.805988824E1,3.426387625E0,1.557985425E0,1.427366180E2,8.000000000E0,3.000000000E0
9.667506797E1,5.934659680E1,1.805990240E1,3.292900135E0,1.524818420E0,1.381083069E2,8.000000000E0,3.000000000E0
9.768436924E1,5.934658125E1,1.805990522E1,3.405532260E0,1.536116719E0,1.430263672E2,8.000000000E0,3.000000000E0
9.866973066E1,5.934657118E1,1.805991768E1,3.267217828E0,1.516139627E0,1.460964050E2,8.000000000E0,3.000000000E0
9.968665216E1,5.934655990E1,1.805993018E1,3.174137230E0,1.506390333E0,1.482765503E2,8.000000000E0,3.000000000E0
1.006866614E2,5.934655167E1,1.805994458E1,3.114917342E0,1.481302261E0,1.433572235E2,8.000000000E0,3.000000000E0
1.017013417E2,5.934653919E1,1.805996052E1,3.071348262E0,1.492009044E0,1.436379700E2,8.000000000E0,3.000000000E0
1.026810443E2,5.934652568E1,1.805997192E1,3.117634000E0,1.498240709E0,1.459442291E2,8.000000000E0,3.000000000E0
1.036828965E2,5.934651418E1,1.805998683E1,3.675865625E0,1.495632052E0,1.435853882E2,8.000000000E0,3.000000000E0
1.046868787E2,5.934650248E1,1.805999781E1,3.604667229E0,1.485019326E0,1.453021851E2,8.000000000E0,3.000000000E0
1.056762478E2,5.934649124E1,1.806000851E1,3.531580549E0,1.470447421E0,1.466222382E2,8.000000000E0,3.000000000E0
1.066843259E2,5.934648394E1,1.806002682E1,3.443365241E0,1.452724338E0,1.393575897E2,8.000000000E0,3.000000000E0
1.076728540E2,5.934647630E1,1.806004311E1,3.306283164E0,1.432069898E0,1.360653839E2,8.000000000E0,3.000000000E0
1.086719399E2,5.934646349E1,1.806004787E1,3.420496112E0,1.427823186E0,1.416775970E2,6.000000000E0,3.000000000E0
1.096899139E2,5.934643823E1,1.806004710E1,4.307811521E0,1.531543970E0,1.584297028E2,6.000000000E0,3.000000000E0
1.106707075E2,5.934642185E1,1.806005730E1,4.404325544E0,1.561744094E0,1.598398895E2,6.000000000E0,3.000000000E0
1.116718215E2,5.934640771E1,1.806006562E1,4.399715989E0,1.560292840E0,1.620432739E2,6.000000000E0,3.000000000E0
1.126647196E2,5.934639894E1,1.806006765E1,4.439017602E0,1.505167723E0,1.637019958E2,6.000000000E0,3.000000000E0
1.136704228E2,5.934638207E1,1.806008296E1,4.277786609E0,1.542471051E0,1.584686432E2,6.000000000E0,3.000000000E0
1.147023466E2,5.934636666E1,1.806009650E1,4.230544928E0,1.566240430E0,1.537941437E2,6.000000000E0,3.000000000E0
1.156663021E2,5.934635339E1,1.806011216E1,4.031363137E0,1.578239083E0,1.497520142E2,6.000000000E0,3.000000000E0
1.166851309E2,5.934633808E1,1.806012778E1,3.844340596E0,1.605490208E0,1.512906799E2,6.000000000E0,3.000000000E0
1.176717445E2,5.934632553E1,1.806014302E1,3.941936774E0,1.608412623E0,1.502697601E2,6.000000000E0,3.000000000E0
1.186872022E2,5.934631042E1,1.806015512E1,3.898613625E0,1.623825431E0,1.501259308E2,6.000000000E0,3.000000000E0
1.196803727E2,5.934629365E1,1.806016523E1,3.925088513E0,1.648253441E0,1.509149628E2,6.000000000E0,3.000000000E0
1.206757061E2,5.934628150E1,1.806017949E1,3.907146509E0,1.642058015E0,1.503793335E2,6.000000000E0,3.000000000E0
