"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.114156530E1,-3.599999845E-1,-1.343999958E1,-3.827999878E1
2.124156530E1,5.999999866E-2,-1.325999928E1,-3.881999969E1
2.134156530E1,6.599999666E-1,-1.331999969E1,-3.929999924E1
2.144156530E1,1.799999923E-1,-1.446000004E1,-3.954000092E1
2.154156531E1,2.399999946E-1,-1.439999962E1,-3.779999924E1
2.164156530E1,-4.199999869E-1,-1.763999939E1,-3.881999969E1
2.174156530E1,3.599999845E-1,-1.842000008E1,-3.659999847E1
2.184156530E1,-6.599999666E-1,-1.811999893E1,-3.809999847E1
2.194156530E1,1.799999923E-1,-1.710000038E1,-4.002000046E1
2.204156531E1,-5.999999866E-2,-1.721999931E1,-4.061999893E1
2.214156530E1,4.799999893E-1,-1.926000023E1,-3.893999863E1
2.224156530E1,-1.799999923E-1,-1.961999893E1,-3.786000061E1
2.234156531E1,-2.099999905E0,-2.093999863E1,-3.359999847E1
2.244156530E1,-7.559999943E0,-2.513999939E1,-2.645999908E1
2.254156531E1,-2.759999990E0,-1.907999992E1,-3.881999969E1
2.264156530E1,-3.839999914E0,-1.955999947E1,-3.611999893E1
2.274156530E1,-5.400000095E0,-2.021999931E1,-3.611999893E1
2.284156531E1,-5.219999790E0,-1.985999870E1,-3.395999908E1
2.294156530E1,-4.799999714E0,-1.739999962E1,-3.743999863E1
2.304156531E1,-4.079999924E0,-1.655999947E1,-3.713999939E1
2.314156530E1,-4.739999771E0,-1.631999969E1,-3.773999786E1
2.324156530E1,-5.940000057E0,-1.734000015E1,-3.647999954E1
2.334156531E1,-6.599999905E0,-1.752000046E1,-3.588000107E1
2.344156530E1,-6.480000019E0,-1.529999924E1,-3.731999969E1
2.354156531E1,-6.420000076E0,-1.338000011E1,-3.870000076E1
2.364156530E1,-7.319999695E0,-1.427999973E1,-3.654000092E1
2.374156530E1,-6.899999619E0,-1.463999939E1,-3.731999969E1
2.384156531E1,-7.980000019E0,-1.505999947E1,-3.318000031E1
2.394156530E1,-7.019999981E0,-1.289999962E1,-3.702000046E1
2.404156531E1,-7.139999866E0,-1.242000008E1,-3.570000076E1
2.414156530E1,-6.719999790E0,-1.301999950E1,-3.695999908E1
2.424156530E1,-6.119999886E0,-1.392000008E1,-3.750000000E1
2.434156531E1,-6.299999714E0,-1.469999981E1,-3.593999863E1
2.444156530E1,-6.599999905E0,-1.355999947E1,-3.605999756E1
2.454156531E1,-6.179999828E0,-1.338000011E1,-3.654000092E1
2.464156530E1,-6.659999847E0,-1.350000000E1,-3.468000031E1
2.474156530E1,-7.019999981E0,-1.553999996E1,-3.263999939E1
2.484156531E1,-5.699999809E0,-1.355999947E1,-3.450000000E1
2.494156530E1,-7.559999943E0,-1.451999950E1,-3.239999771E1
2.504156531E1,-4.440000057E0,-1.181999969E1,-3.677999878E1
2.514156530E1,-4.259999752E0,-1.247999954E1,-3.545999908E1
2.524156530E1,-3.359999895E0,-1.296000004E1,-3.497999954E1
2.534156531E1,-3.359999895E0,-1.373999977E1,-3.527999878E1
2.544156530E1,-3.839999914E0,-1.235999966E1,-3.636000061E1
2.554156531E1,-3.299999952E0,-1.217999935E1,-3.600000000E1
2.564156530E1,-4.259999752E0,-1.307999992E1,-3.395999908E1
2.574156530E1,-4.019999981E0,-1.338000011E1,-3.570000076E1
2.584156531E1,-3.659999847E0,-1.343999958E1,-3.557999802E1
