"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.848431241E0,-2.252565511E-2,-2.161699384E-1,-2.574796975E-1
7.048431241E0,9.353873879E-2,7.521278411E-2,1.572978050E-1
7.248431241E0,6.897432208E-1,-1.715767831E-1,-9.804387391E-2
7.448431241E0,3.281109929E-1,-2.815325260E-1,-2.861903608E-1
7.648431241E0,-2.735912800E-1,-1.892918646E-1,-1.811215430E-1
7.848431241E0,5.254204869E-1,3.048981130E-1,-4.306599870E-2
8.048431241E0,5.574145354E-3,3.818671405E-1,-6.078109145E-2
8.248431241E0,-2.534327209E-1,-6.376669407E-1,2.464841306E-1
8.448431241E0,3.708715737E-1,7.635815564E-5,-6.444628537E-2
8.648431241E0,1.619556546E-1,9.850202128E-3,-3.045163155E-1
8.848431241E0,2.291508317E-1,6.177374721E-2,-4.367686436E-2
9.048431241E0,-1.764636934E-1,-3.273474276E-1,2.189951837E-1
9.248431241E0,4.686099887E-1,1.485166103E-1,-6.261368841E-2
9.448431241E0,7.635815564E-5,-5.306891724E-2,-3.069597781E-1
9.648431241E0,1.851685345E-1,2.383138090E-1,-9.865473956E-2
9.848431241E0,2.328923717E-2,-9.155342728E-2,1.120937690E-1
1.004843124E1,-1.037707329E-1,4.283692688E-2,5.222897977E-2
1.024843124E1,2.273182273E-1,1.534798928E-2,-1.438587606E-1
1.044843124E1,-4.379140139E-1,2.206750773E-2,-3.124575615E-1
1.064843124E1,4.282929003E-1,1.827250719E-1,-5.589416996E-2
1.084843124E1,-6.004042029E-1,-1.905135959E-1,4.795292020E-2
1.104843124E1,4.533383846E-1,2.621375620E-1,-8.582656831E-2
1.124843124E1,3.934735656E-1,-1.007164046E-1,-1.346957833E-1
1.144843124E1,-7.219663858E-1,1.412625890E-2,-5.406157300E-2
1.164843124E1,2.810743749E-1,1.204168126E-1,1.579086632E-1
1.184843124E1,-3.023019433E-1,-2.296089679E-1,3.924809098E-1
1.204843124E1,2.451096848E-2,3.000875562E-2,9.162978968E-4
1.224843124E1,1.851685345E-1,8.628471754E-3,-2.605340183E-1
1.244843124E1,2.664135993E-1,8.559749275E-2,-1.939497143E-1
1.264843124E1,1.729512215E-1,2.212095708E-1,4.856378585E-2
1.284843124E1,1.069777757E-1,-4.199698567E-3,3.359758761E-3
1.304843124E1,-1.825723499E-1,-1.532508135E-1,-1.527163084E-3
1.324843124E1,3.367394581E-2,3.672827408E-2,4.489859566E-2
1.344843124E1,-2.741257846E-2,-1.007164046E-1,2.351831272E-2
